drug_a,drug_b,severity,interaction,alternative
Fexofenadine,Pseudoephedrine,Info,"This is a common combination in allergy medications. Fexofenadine is an antihistamine, and pseudoephedrine is a decongestant.",Decongestant can raise blood pressure
Ramipril,Hydrochlorothiazide,Safe,"This is a very common combination pill for high blood pressure. The ACE inhibitor and diuretic work together effectively.",Standard hypertension therapy
Losartan,Hydrochlorothiazide,Safe,"This is a very common combination pill for high blood pressure, combining an ARB and a diuretic.",Standard hypertension therapy
Metoprolol,Amlodipine,Safe,"This combination of a beta-blocker and a calcium channel blocker is often used to treat high blood pressure and angina.",None
Gabapentin,Paracetamol,Safe,"No interaction known. It is safe to use paracetamol for pain while taking gabapentin.",None
Pregabalin,Metformin,Safe,"No interaction known. Safe to use together.",None
Tamsulosin,Finasteride,Safe,"This is a standard combination therapy for benign prostatic hyperplasia (BPH). Tamsulosin relaxes the bladder neck muscles, while finasteride shrinks the prostate.",Standard BPH therapy
Allopurinol,Paracetamol,Safe,"No interaction known. Safe to use paracetamol for pain relief if needed while taking allopurinol for gout.",None
Colchicine,Paracetamol,Safe,"No interaction known. Paracetamol can be used for pain relief during a gout attack being treated with colchicine.",None
Sertraline,Buspirone,Moderate,"Increased risk of serotonin syndrome. This combination may be used by specialists but requires careful monitoring.",Monitor for symptoms
Bupropion,SSRI,Moderate,"Bupropion can lower the seizure threshold. When combined with an SSRI, the risk may increase. Also used as an augmentation strategy in depression.",Consult Doctor
Trazodone,SSRI,Moderate,"Combining can increase the risk of serotonin syndrome and sedation. Often used together at low doses of trazodone for insomnia in patients with depression.",Monitor for symptoms and sedation
Mirtazapine,Sertraline,Moderate,"Increased risk of serotonin syndrome, although it is a common combination used by specialists for treatment-resistant depression.",Monitor for symptoms
Venlafaxine,MAOI,High,"Extremely high risk of serotonin syndrome. A 14-day washout period is required when switching between these medications.",Never combine
Duloxetine,Ibuprofen,Moderate,"Like other SNRIs/SSRIs, combining with NSAIDs increases the risk of gastrointestinal bleeding.",Consult Doctor
Escitalopram,Metoprolol,Moderate,"Escitalopram can inhibit the enzyme that metabolizes metoprolol, increasing its concentration and risk of side effects like slow heart rate.",Monitor heart rate and blood pressure
Fluoxetine,Phenytoin,High,"Fluoxetine can increase phenytoin levels, leading to toxicity. Phenytoin levels must be monitored closely.",Monitor drug levels
Paroxetine,Risperidone,High,"Paroxetine is a potent enzyme inhibitor that can significantly increase risperidone levels, increasing the risk of extrapyramidal side effects.",Alternative SSRI or lower risperidone dose
Fluvoxamine,Theophylline,High,"Fluvoxamine can dramatically increase theophylline levels, leading to a high risk of toxicity.",Alternative SSRI
Sertraline,Warfarin,Moderate,"Sertraline can increase the anticoagulant effect of warfarin. INR should be monitored closely when starting, stopping, or changing the dose of sertraline.",Monitor INR
Citalopram,Cimetidine,Moderate,"Cimetidine can increase citalopram levels, increasing the risk of side effects, including a heart rhythm problem (QT prolongation).",Use a different H2 blocker like Famotidine
Diazepam,Alcohol,High,"Significantly enhances sedative and respiratory depressant effects, leading to a high risk of overdose and accidents.",Avoid Combination
Zolpidem,Alcohol,High,"Greatly increases the risk of sleep-walking, sleep-driving, and other complex sleep behaviors, along with profound sedation.",Avoid Combination
Lorazepam,Opioids,High,"Black box warning for this combination due to the high risk of severe respiratory depression, coma, and death.",Avoid Combination
Alprazolam,Grapefruit Juice,Moderate,"Grapefruit juice can inhibit the metabolism of alprazolam, increasing its concentration and sedative effects.",Avoid or limit grapefruit juice
Clonazepam,Antihistamines,Moderate,"Combining with sedating antihistamines like diphenhydramine increases drowsiness and CNS depression.",Use non-sedating antihistamine
Temazepam,Ciprofloxacin,Moderate,"Ciprofloxacin can inhibit the metabolism of some benzodiazepines, potentially increasing their sedative effects.",Use with caution
